Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
120.0,327.0,8.5,7.3,4.6,0.1,56.6,11.2,0.528,蔓越莓乳酪麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蔓越莓乳酪麵包
100.0,458.0,6.4,29.9,9.0,0.3,40.8,21.2,0.454,黑巧克力乳酪麥芬,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黑巧克力乳酪麥芬
120.0,312.0,9.1,7.0,4.7,0.0,53.3,12.8,0.385,葡萄乾起司貝果,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_葡萄乾起司貝果
60.0,304.0,5.2,17.3,9.4,0.1,31.9,11.9,0.202,三重奏餅乾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_三重奏餅乾
5.0,18.0,0.3,0.1,0.0,0.0,4.0,2.5,0.001,QQ熊軟糖(零錢包),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_QQ熊軟糖(零錢包)
0.9,4.0,0.01,0.01,0.01,0.0,0.9,0.0,0.0,星巴克薄荷糖(檸檬萊姆風味),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克薄荷糖(檸檬萊姆風味)
36.0,170.0,3.8,6.0,3.0,0.0,24.9,2.4,0.034,巧克力義大利脆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_巧克力義大利脆餅
36.0,171.0,3.7,6.0,2.9,0.0,25.6,3.5,0.035,焦糖義大利脆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_焦糖義大利脆餅
600.0,1584.0,27.0,72.6,36.6,1.2,205.2,78.0,0.33,6吋紫薯蒙布朗薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6吋紫薯蒙布朗薄餅
650.0,2041.0,37.1,147.6,59.8,2.0,141.7,107.3,0.358,6吋草莓布蕾蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6吋草莓布蕾蛋糕
500.0,1345.0,24.0,81.0,71.5,0.0,130.0,89.5,0.51,六吋提拉米蘇,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_六吋提拉米蘇
155.0,332.0,20.0,10.7,2.6,0.0,38.8,4.6,0.761,照燒雞肉三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_照燒雞肉三明治
550.0,1700.0,27.5,96.3,52.8,0.6,181.0,104.0,0.385,長條黑糖栗子蒙布朗,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_長條黑糖栗子蒙布朗
120.0,240.0,11.3,5.4,1.3,0.0,36.6,2.8,1.199,辣雞起司薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_辣雞起司薄餅
184.0,339.0,10.9,15.5,3.1,0.0,39.2,0.0,0.605,青蔬沙拉米捲餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_青蔬沙拉米捲餅
95.0,263.0,3.1,11.2,6.1,0.1,37.1,18.8,0.028,法式藍莓塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_法式藍莓塔
100.0,396.0,3.0,4.5,1.4,0.0,85.9,48.3,0.135,酸口味軟糖(草莓風味),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_酸口味軟糖(草莓風味)
79.2,493.0,4.7,20.3,16.4,0.0,72.8,33.2,0.195,草莓巧克酥捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓巧克酥捲
100.0,402.0,12.2,27.4,13.1,1.0,26.7,4.3,0.557,起司里肌可頌,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_起司里肌可頌
